Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City
B-26061,965,-68,3,Electronics,Printers,COD,14-03-2018,Anurag,Madhya Pradesh,Indore
B-25735,12,-2,3,Clothing,Hankerchief,COD,30-07-2018,Arindam,Uttar Pradesh,Lucknow
B-25616,14,-2,3,Clothing,Hankerchief,UPI,15-04-2018,Kanak,Goa,Goa
B-25666,934,-916,7,Electronics,Electronic Games,COD,22-05-2018,Tanvi,Punjab,Chandigarh
B-25675,929,-93,9,Clothing,Saree,COD,31-05-2018,Shreya,Madhya Pradesh,Bhopal
B-26079,18,3,2,Clothing,Hankerchief,Debit Card,22-03-2018,Hazel,Karnataka,Bangalore
B-25850,916,192,11,Electronics,Phones,COD,05-11-2018,Abhishek,Goa,Goa
B-25693,76,-72,9,Clothing,Hankerchief,COD,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25852,869,67,4,Furniture,Tables,COD,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad
B-25860,112,24,3,Clothing,Kurti,COD,15-11-2018,Akshay,Tamil Nadu,Chennai
B-25853,39,16,6,Clothing,Skirt,UPI,08-11-2018,Gaurav,Gujarat,Ahmedabad
B-25898,857,-274,2,Furniture,Tables,COD,07-12-2018,Abhishek,Rajasthan,Udaipur
B-26100,828,230,2,Furniture,Chairs,COD,31-03-2018,Hitika,Madhya Pradesh,Indore
B-25653,1279,-640,8,Electronics,Printers,EMI,08-05-2018,Farah,Nagaland,Kohima
B-25839,1250,486,7,Clothing,Saree,EMI,30-10-2018,Pranjali,West Bengal,Kolkata
B-25651,823,-18,7,Furniture,Chairs,COD,07-05-2018,Anurag,Madhya Pradesh,Indore
B-25957,1157,-13,9,Furniture,Bookcases,Credit Card,18-01-2018,Mahima,Madhya Pradesh,Indore
B-25704,126,-63,3,Electronics,Accessories,UPI,29-06-2018,Riya,Maharashtra,Mumbai
B-25730,1145,-706,3,Electronics,Phones,Credit Card,22-07-2018,Rishabh,Rajasthan,Jaipur
B-26052,774,170,3,Electronics,Accessories,COD,08-03-2018,Ajay,Karnataka,Bangalore
B-25656,24,-1,2,Clothing,Hankerchief,COD,11-05-2018,Priyanka,Maharashtra,Pune
B-26033,774,170,3,Electronics,Accessories,COD,22-02-2018,Atharv,West Bengal,Kolkata
B-25850,93,-1,2,Clothing,Hankerchief,COD,05-11-2018,Abhishek,Goa,Goa
B-25945,765,-36,3,Electronics,Electronic Games,COD,11-01-2018,Mhatre,Madhya Pradesh,Indore
B-26086,762,101,6,Electronics,Printers,COD,26-03-2018,Mukesh,Haryana,Chandigarh
B-25752,761,266,9,Electronics,Electronic Games,COD,14-08-2018,Vaibhav,Madhya Pradesh,Indore
B-26098,96,-48,5,Clothing,Leggings,UPI,29-03-2018,Pinky,Jammu and Kashmir,Kashmir
B-26067,1137,-14,7,Electronics,Printers,EMI,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25730,18,8,2,Clothing,Hankerchief,Debit Card,22-07-2018,Rishabh,Rajasthan,Jaipur
B-25986,749,-307,7,Furniture,Furnishings,COD,31-01-2018,Shweta,Rajasthan,Udaipur
B-26067,1120,199,6,Clothing,Saree,EMI,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25953,744,119,6,Electronics,Printers,COD,14-01-2018,Krutika,Andhra Pradesh,Hyderabad
B-25952,14,0,4,Clothing,Hankerchief,UPI,13-01-2018,Priyanka,Madhya Pradesh,Indore
B-25903,19,8,2,Clothing,Hankerchief,Debit Card,10-12-2018,Amlan,Madhya Pradesh,Indore
B-25650,512,-225,5,Clothing,Saree,COD,06-05-2018,Chirag,Maharashtra,Mumbai
B-25970,742,198,2,Furniture,Bookcases,COD,22-01-2018,Rhea,Maharashtra,Mumbai
B-26062,44,-40,3,Clothing,Stole,COD,15-03-2018,Tushina,Goa,Goa
B-25643,1061,-36,8,Furniture,Bookcases,EMI,29-04-2018,Kirti,Jammu and Kashmir,Kashmir
B-25632,19,-2,2,Clothing,Leggings,Debit Card,25-04-2018,Manish,Himachal Pradesh,Simla
B-25821,17,0,1,Clothing,Hankerchief,COD,16-10-2018,Ajay,West Bengal,Kolkata
B-25878,741,267,5,Furniture,Bookcases,COD,24-11-2018,Mrinal,Maharashtra,Mumbai
B-25752,735,-235,6,Electronics,Printers,COD,14-08-2018,Vaibhav,Madhya Pradesh,Indore
B-25750,19,-1,1,Clothing,Shirt,Debit Card,14-08-2018,Priyanshu,Madhya Pradesh,Indore
B-25657,1021,-48,4,Electronics,Electronic Games,EMI,13-05-2018,Tulika,Madhya Pradesh,Bhopal
B-25787,556,-209,7,Clothing,Saree,COD,20-09-2018,Asish,Jammu and Kashmir,Kashmir
B-25808,63,-17,6,Clothing,Leggings,COD,08-10-2018,Apsingekar,Bihar,Patna
B-25885,734,248,2,Furniture,Chairs,COD,28-11-2018,Shatayu,Madhya Pradesh,Indore
B-25778,933,166,5,Clothing,Saree,Credit Card,11-09-2018,Surabhi,Maharashtra,Mumbai
B-25759,20,-9,6,Clothing,Hankerchief,Debit Card,23-08-2018,Soumya,Sikkim,Gangtok
B-25747,877,395,2,Furniture,Bookcases,Credit Card,11-08-2018,Harsh,Madhya Pradesh,Bhopal
B-25878,719,303,6,Furniture,Chairs,COD,24-11-2018,Mrinal,Maharashtra,Mumbai
B-25603,12,1,2,Clothing,Hankerchief,COD,03-04-2018,Jahan,Madhya Pradesh,Bhopal
B-25691,714,56,4,Clothing,Saree,COD,16-06-2018,Akancha,Maharashtra,Mumbai
B-25607,50,-15,4,Clothing,Leggings,COD,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25708,709,-100,5,Electronics,Phones,COD,01-07-2018,Kishwar,Madhya Pradesh,Indore
B-26021,21,-12,3,Clothing,Hankerchief,Debit Card,17-02-2018,Anita,Kerala ,Thiruvananthapuram
B-25831,693,254,6,Clothing,Saree,COD,27-10-2018,Mahima,Sikkim,Gangtok
B-25850,24,1,4,Clothing,Hankerchief,COD,05-11-2018,Abhishek,Goa,Goa
B-25670,24,1,2,Clothing,Hankerchief,UPI,25-05-2018,Charika,Goa,Goa
B-25852,24,1,2,Clothing,Hankerchief,COD,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad
B-26029,21,10,1,Clothing,T-shirt,Debit Card,20-02-2018,Ramesh,Gujarat,Ahmedabad
B-25959,681,259,4,Furniture,Chairs,COD,18-01-2018,Muskan,Madhya Pradesh,Indore
B-25676,674,-187,2,Furniture,Tables,COD,01-06-2018,Chandni,Rajasthan,Jaipur
B-26097,671,-309,5,Electronics,Electronic Games,COD,28-03-2018,Vini,Karnataka,Bangalore
B-25888,646,-213,3,Electronics,Electronic Games,COD,02-12-2018,Rohan,Punjab,Amritsar
B-25911,40,15,1,Clothing,Kurti,COD,15-12-2018,Phalguni,Madhya Pradesh,Bhopal
B-25662,24,-2,2,Clothing,T-shirt,COD,17-05-2018,Sweta,Maharashtra,Mumbai
B-25950,644,167,2,Electronics,Printers,COD,13-01-2018,Shruti,Madhya Pradesh,Indore
B-25847,643,225,2,Electronics,Printers,COD,03-11-2018,Aniket,Haryana,Chandigarh
B-25796,632,-316,6,Clothing,Saree,COD,24-09-2018,Sukrith,Maharashtra,Mumbai
B-25693,632,316,6,Clothing,Saree,COD,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25993,610,208,3,Electronics,Printers,COD,03-02-2018,Madhav,Delhi,Delhi
B-26052,78,-28,6,Clothing,Kurti,UPI,08-03-2018,Ajay,Karnataka,Bangalore
B-25930,595,119,4,Furniture,Bookcases,COD,03-01-2018,Monica,Punjab,Chandigarh
B-25785,595,292,3,Clothing,Saree,COD,15-09-2018,Ayush,West Bengal,Kolkata
B-26093,852,51,5,Furniture,Bookcases,Credit Card,27-03-2018,Sarita,Maharashtra,Pune
B-26053,594,89,3,Furniture,Bookcases,COD,09-03-2018,Kirti,Jammu and Kashmir,Kashmir
B-26019,585,175,13,Clothing,T-shirt,COD,15-02-2018,Jitesh,Uttar Pradesh,Lucknow
B-26070,582,262,5,Furniture,Furnishings,COD,18-03-2018,Shruti,Karnataka,Bangalore
B-25870,845,84,7,Clothing,Saree,Credit Card,20-11-2018,Pranav,Andhra Pradesh,Hyderabad
B-25855,829,19,4,Electronics,Printers,Credit Card,08-11-2018,Abhijeet,Madhya Pradesh,Bhopal
B-25602,561,212,3,Clothing,Saree,COD,01-04-2018,Vrinda,Maharashtra,Pune
B-25728,771,-424,2,Electronics,Phones,Credit Card,22-07-2018,Ameesha,Maharashtra,Pune
B-25803,765,8,6,Clothing,Saree,EMI,05-10-2018,Shivanshu,Madhya Pradesh,Indore
B-25996,31,2,2,Clothing,Hankerchief,COD,04-02-2018,Prashant,Delhi,Delhi
B-26078,557,-111,2,Electronics,Electronic Games,COD,22-03-2018,Kasheen,West Bengal,Kolkata
B-25803,757,371,2,Electronics,Printers,Credit Card,05-10-2018,Shivanshu,Madhya Pradesh,Indore
B-25682,545,-73,11,Electronics,Phones,COD,07-06-2018,Krutika,Bihar,Patna
B-25749,1052,-82,3,Furniture,Bookcases,UPI,13-08-2018,Ayush,Maharashtra,Mumbai
B-25962,544,-152,3,Furniture,Bookcases,COD,19-01-2018,Tejeswini,Maharashtra,Pune
B-25899,22,9,2,Clothing,Leggings,Debit Card,08-12-2018,Aishwarya,Uttar Pradesh,Prayagraj
B-25845,757,371,2,Electronics,Printers,Credit Card,03-11-2018,Snel,Kerala ,Thiruvananthapuram
B-25951,742,198,2,Furniture,Bookcases,Credit Card,13-01-2018,Jesal,West Bengal,Kolkata
B-25828,537,107,3,Clothing,Saree,COD,24-10-2018,Nikita,Punjab,Chandigarh
B-25803,536,91,1,Clothing,Trousers,COD,05-10-2018,Shivanshu,Madhya Pradesh,Indore
B-25656,6,3,1,Clothing,Hankerchief,COD,11-05-2018,Priyanka,Maharashtra,Pune
B-25681,523,204,7,Clothing,Trousers,COD,04-06-2018,Bhawna,Madhya Pradesh,Indore
B-25658,27,9,2,Clothing,T-shirt,UPI,14-05-2018,Shefali,Rajasthan,Jaipur
B-25698,516,392,8,Furniture,Chairs,COD,23-06-2018,Amisha,Tamil Nadu,Chennai
B-25832,504,116,3,Furniture,Bookcases,COD,28-10-2018,Harshita,Maharashtra,Mumbai
B-25886,502,84,4,Electronics,Phones,COD,28-11-2018,Brijesh,Rajasthan,Udaipur
B-25897,734,213,6,Electronics,Electronic Games,Credit Card,06-12-2018,Rohan,Madhya Pradesh,Indore
B-25873,42,12,2,Clothing,Kurti,COD,23-11-2018,Divyeta,Madhya Pradesh,Indore
B-25858,29,11,4,Clothing,Skirt,COD,13-11-2018,Uudhav,Maharashtra,Mumbai
B-25867,240,12,6,Clothing,Kurti,UPI,17-11-2018,Ankit,Sikkim,Gangtok
B-25633,496,-79,2,Clothing,Trousers,COD,26-04-2018,Amit,Sikkim,Gangtok
B-25609,485,29,4,Electronics,Electronic Games,COD,09-04-2018,Jitesh,Uttar Pradesh,Lucknow
B-25896,31,-11,3,Clothing,Skirt,UPI,05-12-2018,Aman,Maharashtra,Mumbai
B-26000,676,151,3,Electronics,Printers,Credit Card,06-02-2018,Shubham,Delhi,Delhi
B-25959,23,8,2,Clothing,Hankerchief,Debit Card,18-01-2018,Muskan,Madhya Pradesh,Indore
B-25940,13,3,2,Clothing,Hankerchief,COD,06-01-2018,Vivek,Goa,Goa
B-26087,180,0,8,Clothing,Stole,COD,26-03-2018,Vandana,Himachal Pradesh,Simla
B-26055,671,114,9,Electronics,Phones,Credit Card,10-03-2018,Harivansh,Uttar Pradesh,Mathura
B-25980,22,11,3,Clothing,Kurti,COD,27-01-2018,Shweta,Rajasthan,Udaipur
B-25653,668,-31,3,Electronics,Printers,Credit Card,08-05-2018,Farah,Nagaland,Kohima
B-26052,145,0,3,Clothing,Saree,UPI,08-03-2018,Ajay,Karnataka,Bangalore
B-25877,24,8,2,Clothing,Skirt,Debit Card,24-11-2018,Dashyam,Gujarat,Surat
B-25608,476,0,3,Furniture,Chairs,COD,08-04-2018,Aarushi,Tamil Nadu,Chennai
B-25897,24,11,5,Clothing,Hankerchief,Debit Card,06-12-2018,Rohan,Madhya Pradesh,Indore
B-25881,37,3,3,Clothing,Hankerchief,COD,25-11-2018,Lalita,Uttar Pradesh,Mathura
B-25905,152,50,6,Clothing,Stole,UPI,11-12-2018,Bhargav,Delhi,Delhi
B-25818,32,11,2,Clothing,Leggings,UPI,14-10-2018,Sandeep,Madhya Pradesh,Indore
B-25835,52,11,5,Clothing,Leggings,COD,29-10-2018,Moumita,Gujarat,Ahmedabad
B-26081,24,11,3,Clothing,Hankerchief,Debit Card,22-03-2018,Aarushi,Tamil Nadu,Chennai
B-25730,473,42,4,Furniture,Chairs,COD,22-07-2018,Rishabh,Rajasthan,Jaipur
B-25837,263,50,5,Clothing,Stole,COD,29-10-2018,Palak,Maharashtra,Mumbai
B-25893,61,11,3,Clothing,Kurti,COD,04-12-2018,Vrinda,Uttar Pradesh,Mathura
B-25689,469,-459,3,Electronics,Electronic Games,COD,14-06-2018,Bhaggyasree,Maharashtra,Mumbai
B-26028,1272,547,2,Electronics,Phones,COD,20-02-2018,Manju,Andhra Pradesh,Hyderabad
B-26081,169,0,3,Electronics,Accessories,COD,22-03-2018,Aarushi,Tamil Nadu,Chennai
B-25903,25,11,3,Clothing,Leggings,Debit Card,10-12-2018,Amlan,Madhya Pradesh,Indore
B-25651,457,-41,4,Clothing,Saree,COD,07-05-2018,Anurag,Madhya Pradesh,Indore
B-25903,455,77,8,Electronics,Accessories,COD,10-12-2018,Amlan,Madhya Pradesh,Indore
B-26086,25,2,2,Clothing,Hankerchief,Debit Card,26-03-2018,Mukesh,Haryana,Chandigarh
B-25654,450,-90,3,Electronics,Printers,COD,10-05-2018,Sabah,Maharashtra,Mumbai
B-25720,30,-35,1,Furniture,Chairs,COD,15-07-2018,Namrata,Punjab,Chandigarh
B-26057,659,-37,2,Furniture,Bookcases,Credit Card,10-03-2018,Sharda,Kerala ,Thiruvananthapuram
B-25798,448,148,2,Electronics,Printers,COD,01-10-2018,Shishu,Andhra Pradesh,Hyderabad
B-25961,446,53,3,Electronics,Printers,COD,18-01-2018,Surbhi,Gujarat,Ahmedabad
B-25701,98,-45,2,Furniture,Chairs,UPI,26-06-2018,Maithilee,Madhya Pradesh,Indore
B-26055,443,11,1,Clothing,Saree,COD,10-03-2018,Harivansh,Uttar Pradesh,Mathura
B-25653,427,-50,7,Electronics,Phones,COD,08-05-2018,Farah,Nagaland,Kohima
B-25670,656,-36,2,Furniture,Bookcases,Credit Card,25-05-2018,Charika,Goa,Goa
B-26056,424,161,2,Clothing,Saree,COD,10-03-2018,Sonal,Bihar,Patna
B-26061,27,8,2,Clothing,T-shirt,Debit Card,14-03-2018,Anurag,Madhya Pradesh,Indore
B-25602,424,-272,5,Electronics,Phones,COD,01-04-2018,Vrinda,Maharashtra,Pune
B-26016,202,4,4,Clothing,Hankerchief,COD,14-02-2018,Hazel,Karnataka,Bangalore
B-25873,1275,357,2,Electronics,Phones,UPI,23-11-2018,Divyeta,Madhya Pradesh,Indore
B-25761,418,70,7,Electronics,Phones,COD,25-08-2018,Madhav,Uttar Pradesh,Mathura
B-25819,417,49,3,Electronics,Electronic Games,COD,15-10-2018,Ankur,Madhya Pradesh,Bhopal
B-25853,199,48,4,Clothing,Stole,UPI,08-11-2018,Gaurav,Gujarat,Ahmedabad
B-25662,385,-77,11,Furniture,Furnishings,UPI,17-05-2018,Sweta,Maharashtra,Mumbai
B-25993,414,199,3,Electronics,Phones,COD,03-02-2018,Madhav,Delhi,Delhi
B-25703,97,-45,4,Clothing,Saree,COD,28-06-2018,Ekta,Madhya Pradesh,Indore
B-25848,648,50,6,Electronics,Electronic Games,Credit Card,03-11-2018,Rohan,Himachal Pradesh,Simla
B-25678,27,-25,2,Clothing,Shirt,Debit Card,03-06-2018,Bathina,Karnataka,Bangalore
B-25925,27,12,1,Clothing,Stole,Debit Card,29-12-2018,Shruti,Maharashtra,Mumbai
B-25977,27,1,1,Clothing,Stole,UPI,27-01-2018,Aayushi,Gujarat,Surat
B-25797,413,-314,9,Furniture,Chairs,COD,30-09-2018,Sauptik,Madhya Pradesh,Indore
B-26067,53,2,4,Clothing,Hankerchief,COD,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25810,29,8,5,Clothing,Hankerchief,UPI,10-10-2018,Nripraj,Punjab,Chandigarh
B-25648,30,13,1,Clothing,T-shirt,UPI,04-05-2018,Aditya,Punjab,Chandigarh
B-25933,412,412,6,Clothing,Saree,COD,04-01-2018,Shikhar,Maharashtra,Mumbai
B-25942,646,-23,2,Electronics,Printers,Credit Card,08-01-2018,Ankur,Andhra Pradesh,Hyderabad
B-25656,30,-5,5,Clothing,Stole,UPI,11-05-2018,Priyanka,Maharashtra,Pune
B-26067,618,27,4,Furniture,Bookcases,Credit Card,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25673,143,-124,5,Clothing,Saree,UPI,28-05-2018,Arsheen,Gujarat,Ahmedabad
B-25797,31,1,2,Clothing,Hankerchief,UPI,30-09-2018,Sauptik,Madhya Pradesh,Indore
B-26098,409,86,3,Clothing,Saree,COD,29-03-2018,Pinky,Jammu and Kashmir,Kashmir
B-25656,406,126,2,Clothing,Saree,COD,11-05-2018,Priyanka,Maharashtra,Pune
B-25791,565,66,7,Clothing,Saree,Credit Card,24-09-2018,Avish,Kerala ,Thiruvananthapuram
B-26053,85,2,6,Clothing,Stole,COD,09-03-2018,Kirti,Jammu and Kashmir,Kashmir
B-25983,561,118,5,Furniture,Bookcases,Credit Card,30-01-2018,Atul,Delhi,Delhi
B-25743,503,-56,2,Clothing,Trousers,COD,07-08-2018,Aman,Nagaland,Kohima
B-25867,31,14,3,Clothing,Stole,UPI,17-11-2018,Ankit,Sikkim,Gangtok
B-25973,398,111,8,Clothing,Hankerchief,COD,24-01-2018,Madan Mohan,Uttar Pradesh,Mathura
B-25895,388,93,2,Furniture,Bookcases,COD,04-12-2018,Sathya,Gujarat,Surat
B-26003,498,-116,4,Clothing,Saree,UPI,08-02-2018,Hitesh,Madhya Pradesh,Bhopal
B-25717,561,212,3,Clothing,Saree,Credit Card,12-07-2018,Manshul,Uttar Pradesh,Lucknow
B-26064,61,3,4,Clothing,Hankerchief,COD,16-03-2018,Ankita,Maharashtra,Mumbai
B-25630,34,-22,4,Clothing,T-shirt,COD,24-04-2018,Sahil,Punjab,Chandigarh
B-26050,32,6,3,Clothing,Shirt,UPI,06-03-2018,Paridhi,Rajasthan,Jaipur
B-25786,623,-192,3,Furniture,Tables,UPI,19-09-2018,Madan Mohan,Uttar Pradesh,Mathura
B-26035,520,151,3,Electronics,Phones,Credit Card,23-02-2018,Pinky,Jammu and Kashmir,Kashmir
B-25693,32,-16,6,Clothing,Saree,UPI,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25703,32,-5,5,Clothing,Hankerchief,UPI,28-06-2018,Ekta,Madhya Pradesh,Indore
B-25966,510,234,6,Electronics,Electronic Games,EMI,21-01-2018,Soumya,Rajasthan,Udaipur
B-26060,382,68,3,Clothing,Saree,COD,13-03-2018,Chirag,Maharashtra,Mumbai
B-25898,33,13,3,Clothing,Leggings,UPI,07-12-2018,Abhishek,Rajasthan,Udaipur
B-25686,381,-13,2,Clothing,Saree,COD,11-06-2018,Pooja,Himachal Pradesh,Simla
B-26051,490,88,2,Electronics,Accessories,EMI,07-03-2018,Parishi,West Bengal,Kolkata
B-25854,381,144,2,Clothing,Saree,COD,08-11-2018,Shubham,Maharashtra,Pune
